x	pi	mw	tpm
XP_010908980.1	8.374	5.91675	733.0925
XP_010910204.1	5.622	36.82479	195.4853
XP_019705687.1	9.599	106.44018	64.36149
XP_010927211.1	6.269	68.26889	59.18359
XP_010906569.1	10.764	16.25317	89.84573
XP_010938798.1	5.649	26.85856	148.4699
XP_019706936.1	10.368	6.46261	63.42347
XP_010916874.1	5.852	52.24822	284.0462
XP_010932601.1	5.211	23.56589	77.44166
XP_010913363.1	12.22	23.62153	71.01364
XP_010937539.1	7.651	25.26681	151.4052
XP_010919653.1	7.02	26.21529	630.5253
XP_010913004.1	4.892	37.63138	1133.032
XP_010911006.1	5.052	34.66671	139.3956
XP_010918773.1	6.511	25.0455	80.08126
XP_010912241.1	4.22	29.03785	143.667
XP_010926132.1	4.853	44.96693	68.39303
XP_010908053.1	9.008	17.40867	75.07287
XP_010925823.1	9.306	57.13491	70.58775
NP_001290526.1	5.051	36.53568	123.8739
XP_010922256.1	4.477	33.85678	70.16094
XP_010932564.1	5.652	31.4609	79.76396
XP_019704313.1	9.987	40.98908	3032.861
XP_010912803.1	5.161	53.85793	56.03532
XP_010922557.1	5.64	27.13637	63.12547
XP_010941249.1	9.684	30.55312	58.89298
XP_010906297.1	9.636	27.34693	78.81128
XP_010940214.1	7.445	32.8889	76.16542
XP_010924672.1	5.96	94.12354	101.8378
XP_010932640.1	5.652	31.4609	89.13438
XP_019705886.1	10.401	54.22614	60.34953
XP_010932466.1	4.306	21.97034	86.64763
XP_010937482.1	4.827	18.70578	124.5216
XP_010927344.1	10.879	17.86207	439.2839
XP_010938624.1	3.38	8.75301	69.92645
XP_010910883.1	4.697	62.71333	67.95124
XP_010919772.1	4.712	49.71475	60.72315
XP_010941129.1	8.023	26.40037	224.281
XP_010918657.1	10.378	8.91833	52.98557
XP_010929278.1	6.693	105.23922	59.46753
XP_010904820.1	5.536	24.21265	97.52322
XP_010934405.1	9.779	17.29192	128.636
XP_010932552.1	5.966	39.25623	142.4191
XP_010927965.1	6.489	19.29215	58.61485
XP_010924380.1	10.779	21.42924	98.71497
XP_010907318.1	9.593	24.50253	784.1201
XP_019707789.1	9.221	17.86525	71.52485
XP_010932581.1	9.166	30.99439	54.26026
XP_010937512.1	9.342	49.29411	58.34859
XP_010934733.1	6.131	21.37142	102.0652
XP_010930035.1	8.039	60.42157	51.55915
XP_010933982.1	6.302	54.50837	72.70929
XP_019710963.1	11.519	18.1491	35623.62
XP_010928880.1	5.262	34.80774	59.37114
XP_010912057.2	7.806	16.58367	99.07031
XP_010924385.1	9.616	18.95242	194.7215
XP_010919949.1	5.716	52.9643	154.2172
XP_010930695.1	6.977	11.64118	55.16446
XP_010930670.1	4.735	61.37081	73.01638
XP_019709220.1	6.868	61.90119	76.33474
XP_010924183.1	5.379	37.0726	68.16236
XP_010913776.1	5.111	38.81001	95.09818
XP_010940641.1	9.918	13.84203	69.20563
XP_019706905.1	9.958	45.64029	75.32804
XP_010924912.1	4.968	45.48445	72.78536
XP_010937904.1	6.032	37.10638	74.25348
XP_010915882.1	4.972	38.50715	100.427
XP_019703417.1	11.378	7.44973	109.1033
XP_010941651.1	4.58	16.64555	60.25318
XP_019706951.1	6.225	25.28047	318.8443
XP_010935825.1	7.992	41.68298	91.4277
XP_010919697.1	8.015	27.92389	209.6435
XP_010907932.1	5.18	39.09181	721.7559
XP_010933268.1	9.7	20.82674	165.5919
XP_010910362.1	8.226	13.48043	3743.544
XP_019710383.1	10.214	27.3139	648.0094
XP_010931628.1	11.364	34.7418	52.11882
XP_010910978.1	5.026	26.44324	119.164
XP_010912251.1	8.354	17.237	92.88983
XP_010935113.1	9.428	21.66306	60.4092
XP_010924796.2	4.372	35.75297	1536.659
XP_010922672.1	7.035	22.60395	117.2722
XP_010915807.1	10.616	7.49284	169.4747
XP_010918617.1	8.628	26.72857	93.11741
XP_010922600.1	8.255	45.26478	64.30347
XP_010918171.1	8.056	68.37958	146.2421
XP_010933003.1	9.764	19.07567	102.268
XP_010917226.1	10.922	16.55746	281.3695
XP_010910957.1	4.317	15.53951	136.2502
XP_010926148.1	9.546	10.82648	60.69573
XP_010930619.1	9.503	27.82138	128.5415
XP_010936431.1	10.08	20.06014	55.55363
XP_010936579.1	5.233	113.91134	215.761
XP_010936870.1	6.46	30.02357	98.75846
XP_010933719.1	11.132	24.06348	52.79379
XP_010925681.1	3.54	18.16191	110.0186
XP_010937352.1	7.262	12.87914	345.2168
XP_010918498.1	8.443	20.54693	62.55025
XP_010924214.1	10.654	12.85598	60.22875
XP_010914049.1	4.879	41.89089	92.51376
XP_019702058.1	9.366	18.2238	311.9857
XP_019710486.1	8.19	33.45162	170.5377
XP_010941967.1	6.157	15.01055	1060.06
XP_010910777.1	12.132	11.03486	187.4516
XP_010926528.2	5.547	35.23013	69.96995
XP_010919558.1	8.492	50.58335	62.8067
XP_010930058.1	7.352	36.6248	755.2869
XP_010943361.1	5.842	18.15402	77.46702
XP_010940561.1	4.643	29.90337	202.2773
XP_010938397.1	4.476	19.09369	844.7604
XP_010907706.1	8.205	19.84208	63.26816
XP_010911965.1	8.811	44.84199	57.93292
XP_010907647.1	8.628	44.23211	61.58666
XP_010933228.1	10.662	18.77176	1091.094
XP_019707282.1	7.232	30.05289	529.8231
XP_010917437.2	6.185	118.9335	56.64514
XP_010928508.1	4.128	16.25488	679.7862
XP_010931124.1	10.913	11.98399	55.22976
XP_010941717.1	11.114	12.39578	54.83131
XP_010933275.1	5.191	73.52201	61.50665
XP_010931155.1	5.502	33.35084	800.5366
XP_019710258.1	4.663	21.91816	50.05201
XP_010913224.1	4.852	80.13314	94.23667
XP_010924382.1	7.032	28.4479	194.8034
XP_010922613.1	5.65	29.59361	50.29997
XP_019702711.1	5.304	41.87335	132.0158
XP_010934650.1	8.782	25.68282	74.30002
XP_010916036.1	9.362	46.64357	52.06709
XP_010909081.1	8.421	7.53074	68.32388
XP_010926780.1	6.485	50.98548	55.02177
XP_010926867.1	5.316	45.30652	78.62504
XP_010922736.1	9.001	9.40295	247.2343
XP_010906556.1	7.95	71.27791	66.52848
XP_010929491.1	6.532	43.12786	65.61379
XP_010916645.1	5.655	36.40451	271.2941
XP_010929105.1	8.495	50.10168	79.86277
XP_010942060.1	6.367	47.35151	67.20763
XP_010929083.1	5.955	53.03108	145.0112
XP_010937620.1	7.21	39.99815	53.42715
XP_010920679.1	10.271	14.78239	168.9198
XP_010933119.1	8.896	25.06137	87.54957
XP_010935504.1	8.497	60.975	108.7382
XP_010943217.1	5.364	51.89329	144.2573
XP_010919839.1	10.695	30.95884	64.13219
XP_019708948.1	5.383	60.84805	101.9815
XP_010913256.1	7.961	45.66772	201.2986
XP_010916268.1	6.51	68.63235	61.0896
XP_019706054.1	8.006	63.792	80.81571
XP_010910801.2	8.51	36.50771	68.1942
XP_010909986.1	4.874	41.02479	260.854
XP_010942185.1	9.622	58.61527	51.74297
XP_010934570.1	7.991	60.6762	90.51708
XP_010920348.1	6.861	18.53794	146.7711
XP_010907420.1	6.279	53.02327	62.84866
XP_010934411.2	7.451	24.75106	167.5231
XP_010910174.1	7.657	113.0935	51.57534
XP_010910164.1	10.253	14.30668	87.72602
XP_010921656.1	10.22	9.89833	988.4481
XP_010906115.1	9.894	11.55844	70.67403
XP_010926899.1	6.586	44.24416	298.565
XP_019710735.1	6.462	39.14838	59.70791
XP_010909363.1	6.252	39.26537	238.4459
XP_010918893.1	7.885	48.66099	92.95611
XP_019705429.1	6.497	29.49358	84.79601
XP_010911406.1	6.121	20.2137	95.21607
XP_010943847.1	6.014	65.1873	87.66074
XP_010933107.1	9.643	30.00492	50.17262
XP_010940479.1	9.666	11.13693	77.80274
XP_010935842.1	9.265	37.02124	936.4583
XP_019702864.1	4.635	6.50996	705.083
XP_010943608.1	5.364	38.35086	220.5465
XP_010906894.1	5.873	60.48958	58.0486
XP_010922574.1	6.263	66.27141	170.3269
XP_010912231.1	6.516	17.61436	65.53048
XP_010922357.1	5.034	71.18163	192.6774
XP_010935207.1	8.722	34.60371	54.25944
XP_010919650.1	6.362	25.54672	707.06
XP_010908641.1	6.372	50.69189	110.9113
XP_010932447.1	8.367	29.38213	313.7389
XP_019705007.1	4.251	4.78962	61.52164
XP_019703834.1	8.873	15.85877	215.364
XP_010910715.1	11.461	64.57208	52.09191
XP_010924286.1	7.006	21.75475	90.4005
XP_019709700.1	4.759	143.13879	77.0495
XP_010915489.1	8.867	31.92228	51.60219
XP_010914183.1	7.743	16.5021	397.3635
XP_010905156.1	5.036	64.13801	138.1837
XP_010924305.1	4.132	11.58293	75.73101
XP_010910930.1	7.721	15.40226	249.231
XP_010932192.1	6.432	31.32541	401.128
XP_019709005.1	7.709	168.4253	103.9114
XP_019706312.1	8.135	23.89483	100.7641
XP_010909941.1	8.2	44.40493	51.12835
XP_010928245.1	9.118	23.49045	111.7993
XP_010922005.1	10.273	14.67497	69.49488
XP_010911922.1	7.855	20.05574	176.3911
XP_010937542.1	5.992	34.36536	64.62297
XP_010924284.1	9.639	35.79479	94.09172
XP_010910349.1	9.26	21.53351	60.07643
XP_010909148.1	4.685	64.53761	385.6307
XP_010909101.1	3.959	16.84767	131.3857
XP_010924467.1	5.552	16.84956	134.998
XP_010917392.1	4.917	43.07311	144.1733
XP_010918326.1	6.94	12.43658	323.2022
XP_010922376.1	10.326	26.05395	67.50387
XP_019707460.1	4.651	30.41584	139.4754
XP_010914940.1	5.978	37.24377	55.30247
XP_010912296.1	6.464	87.22082	50.26714
XP_010913223.1	4.871	80.17014	125.528
XP_010940523.1	8.184	41.71213	73.08009
XP_010915765.1	7.266	28.16673	618.3833
XP_010943474.1	6.42	88.0212	60.43983
XP_010932486.1	6.66	34.08328	59.95254
XP_010922532.1	9.347	49.32414	188.9949
XP_010921793.1	4.827	17.13258	173.4278
XP_019708955.1	6.428	24.65616	52.01014
XP_010941422.1	7.128	56.83623	110.1334
XP_010919352.1	9.752	41.19733	125.3071
XP_010932576.1	6.673	15.82606	136.635
XP_010916060.1	5.235	60.30251	97.05092
XP_010932409.1	11.04	16.3892	243.4019
XP_019704785.1	8.527	20.4276	55.96042
XP_010912859.1	7.651	52.506	72.5422
XP_019709354.1	8.343	21.01333	66.43929
XP_010937273.1	4.875	41.4012	375.7496
XP_010919343.1	5.819	17.49918	90.37456
XP_010921202.1	10.566	25.34471	96.96506
XP_010937394.1	8.761	59.48087	354.3945
XP_010937848.1	10.833	23.46609	240.5716
XP_010922440.1	5.842	48.62421	85.6469
XP_010910747.1	5.867	16.91534	65.15288
XP_010909818.1	8.66	23.10267	491.6053
XP_019704009.1	7.509	72.96585	94.79533
XP_010919721.1	7.795	85.08051	164.7458
XP_010913476.1	7.363	58.36754	67.67249
XP_019709695.1	6.7	83.13973	85.75517
XP_010917924.1	9.549	50.98059	60.45402
XP_010930130.1	6.691	26.88611	102.2999
XP_010943822.1	10.223	14.67328	56.29795
XP_010922435.1	11.216	14.34636	94.13222
XP_010927926.1	8.043	59.89315	3531.113
XP_019704793.1	5.843	25.46507	64.27924
XP_010918395.1	6.625	76.19107	57.21598
XP_010924819.1	4.251	4.99079	167.6064
XP_010911653.2	6.021	19.78362	59.93784
XP_010911094.1	8.402	55.41631	51.27003
XP_019701858.1	9.485	27.30678	81.52503
XP_010909855.1	5.33	40.81005	60.35808
XP_010914880.1	5.167	14.31331	99.18819
XP_010929387.1	4.054	12.03414	67.73164
XP_010933292.1	9.349	64.08241	121.2512
XP_010925388.1	8.062	46.52901	78.82708
XP_010915553.1	6.732	52.07526	70.8342
XP_010938837.1	5.591	25.80781	52.738
XP_010931227.1	5.715	47.33656	69.46037
XP_010920378.1	8.952	50.49982	427.8095
XP_019708299.1	8.153	44.96	227.4103
XP_019701497.1	8.639	57.32559	52.97425
XP_010937250.1	6.335	57.26539	508.0747
XP_010940044.1	10.941	17.57349	51.99936
XP_010926222.1	5.228	32.63373	52.77776
XP_010913926.1	10.509	26.08964	60.7327
XP_010930312.1	5.534	15.79786	130.6723
XP_010931674.2	9.286	26.23541	119.3824
XP_019704672.1	6.258	18.09819	271.7375
XP_010920218.1	8.352	53.60981	303.0087
XP_019705103.1	6.141	7.50197	689.3782
XP_010913749.1	8.083	53.9043	100.8917
XP_010911320.1	7.207	20.49418	81.58847
XP_010942096.1	7.872	35.84127	183.0348
XP_010943941.1	8.402	26.50425	165.8893
XP_010911290.2	7.096	54.02074	140.7883
XP_010935527.1	8.438	11.27832	53.71518
XP_010939194.1	8.97	9.70462	52.88668
XP_010936155.1	5.28	49.13661	112.311
XP_010937672.1	10.283	26.0041	76.05983
XP_010910872.1	6.995	29.18544	131.3035
XP_010933687.1	7.304	13.43015	59.34055
XP_010934416.1	6.149	50.1108	93.65804
XP_010937681.1	5.479	15.99531	90.65271
XP_010926722.1	8.498	12.63962	68.43226
XP_010908251.1	5.788	17.09567	174.7073
XP_010931015.1	6.905	61.32269	79.49127
XP_010936230.1	10.789	11.60745	460.7694
XP_010920912.1	9.356	49.30715	50.79716
XP_010922386.1	10.132	14.81439	155.5154
XP_010915957.1	6.49	36.66482	646.4097
XP_019711196.1	5.536	42.32797	55.34017
XP_010938761.1	6.183	55.74245	54.67667
XP_010924026.1	4.935	29.06909	138.5615
XP_019703120.1	3.889	29.24628	107.6879
XP_010941943.1	4.242	52.9899	84.7527
XP_010904855.1	7.813	9.76607	69.26385
XP_019702610.1	6.474	24.40499	54.23419
XP_010912374.1	7.926	23.95479	267.6426
XP_010925148.1	6.511	24.94849	351.2046
XP_010936237.1	4.763	49.68101	199.1431
XP_010922498.1	5.711	27.63733	91.95315
XP_010923945.1	6.153	38.00856	274.225
XP_019705947.1	11.179	7.49884	68.70967
XP_010913023.1	4.139	21.06216	132.8966
XP_010943433.1	8.19	12.66405	208.5207
XP_010928449.1	6.302	17.08427	56.06133
XP_010940314.1	7.551	25.30175	117.2092
XP_010918506.1	9.147	35.68205	159.4959
XP_010934751.1	5.873	55.62449	78.24965
XP_010941661.1	5.536	42.32797	99.94442
XP_010914583.1	4.898	12.475	430.7139
XP_010926884.1	4.627	50.19251	104.1049
XP_010937887.1	6.372	43.53691	97.10326
XP_010904705.1	3.959	16.84767	77.35141
XP_019702534.1	5.939	73.76246	382.7761
XP_010914678.1	8.924	81.01361	140.4113
XP_010913055.1	4.824	11.51183	180.0645
XP_010907005.1	5.726	12.2697	92.38821
XP_010925746.1	8.449	23.25461	79.8073
XP_010926081.1	6.957	58.01722	84.5174
XP_019705826.1	7.722	16.17945	67.48188
XP_010923339.2	5.301	16.27255	112.1945
NP_001306846.1	6.575	27.63849	375.316
XP_010933329.1	6.781	78.33746	59.50822
XP_010908865.1	9.343	115.2119	58.00183
XP_010920116.1	5.868	82.25421	115.7745
XP_010917967.1	5.938	36.31282	60.81202
XP_019702243.1	11.176	23.81401	84.38016
XP_010922496.1	6.22	52.35872	55.56077
XP_010922112.2	4.636	21.29882	461.5787
XP_019707779.1	5.952	33.50327	86.51599
XP_010907911.1	8.421	56.03171	313.6086
XP_010918885.2	11.193	25.2457	87.06143
XP_010929024.1	5.589	28.66665	50.99429
XP_010921890.1	4.531	33.76288	138.8854
XP_010932417.1	7.627	43.08158	234.2925
XP_010943770.1	9.861	10.01155	185.2975
XP_019703257.1	7.687	20.40164	60.5534
XP_019707649.1	7.14	39.96341	310.644
XP_010923559.1	8.143	86.39017	63.31825
XP_010915480.1	5.466	24.03502	109.1081
XP_010920237.1	9.155	13.14889	96.86337
XP_010913806.1	5.307	28.32952	68.92387
XP_010909225.1	6.205	84.66486	89.08489
XP_010919096.1	5.378	21.85592	60.22495
XP_010909764.1	10.292	32.11822	55.55574
XP_010940063.1	10.767	15.74651	172.2942
XP_010932898.1	8.829	65.47553	62.814
XP_019704291.1	6.794	53.97476	307.7197
XP_010942999.1	9.847	19.70918	68.72275
XP_010938387.1	9.997	35.80939	121.584
XP_010941574.1	5.275	33.28544	149.5357
XP_010934837.1	9.752	47.93211	82.89389
XP_010933361.1	8.81	30.08015	1907.861
XP_010915606.1	9.49	37.85237	50.15779
XP_010922747.1	5.112	45.82414	61.64931
XP_010921803.1	5.26	24.15364	461.3349
XP_010932219.1	5.705	27.68759	70.93832
XP_010942090.1	5.193	23.17234	51.0029
XP_010931083.1	7.629	30.0185	318.4332
XP_010933557.1	4.888	25.45527	63.75437
XP_010938930.1	6.186	51.66774	147.2649
XP_010907336.1	7.713	40.58928	541.2042
XP_010940993.1	5.676	41.85897	93.35636
XP_010925544.1	10.975	15.74361	1127.318
XP_010937158.1	4.489	22.88343	63.18351
XP_010942879.1	9.334	35.7253	111.5098
XP_010910248.1	8.224	79.51395	94.97446
XP_019706111.1	3.59	2.91827	69.52511
XP_010908222.1	7.956	32.74519	3701.744
XP_010930228.1	10.901	14.1946	98.18503
XP_010943034.1	8.685	11.06549	85.15317
XP_010935251.1	7.612	60.60703	60.28357
XP_019705855.1	9.347	49.82573	218.2817
XP_010922969.1	10.081	19.40425	217.956
XP_010938472.1	4.959	19.6002	85.01907
XP_010933208.1	6.383	55.64046	771.256
XP_019702380.1	10.805	23.07407	62.98291
XP_010908197.1	4.624	16.99046	167.9716
XP_010917267.1	5.633	39.59219	72.66702
XP_010908355.1	6.305	32.99675	75.26797
XP_010905449.1	5.989	29.44228	94.94973
XP_010917041.1	10.171	29.06208	88.62454
XP_010919857.1	5.345	40.62637	50.14706
XP_010916067.1	6.316	13.30006	173.9077
XP_010923323.1	7.204	33.29236	56.77198
XP_010910559.1	6.026	48.32168	55.88098
XP_010911612.1	4.942	22.37414	58.3859
XP_010924799.1	6.079	15.43052	76.72736
XP_010924155.1	5.918	59.7092	154.8041
XP_010909782.1	9.679	17.06594	76.56171
XP_010927256.1	10.799	17.21006	199.1909
XP_010906893.1	5.15	40.62506	71.38045
XP_010943221.2	9.615	20.33345	578.8114
XP_010906541.1	5.575	49.21184	234.0273
XP_019706947.1	9.241	23.13861	59.30165
XP_010921862.1	4.458	24.22136	189.8801
XP_010927573.1	8.66	31.9319	79.72142
XP_010938672.1	5.962	12.14777	289.7877
XP_010943521.1	9.534	74.3805	62.09598
XP_010939882.1	6.945	46.10376	137.1901
XP_010936608.1	9.228	40.2506	107.7808
XP_019701285.1	6.301	30.60078	73.42623
XP_010909610.1	4.528	61.14917	64.17091
XP_010942640.1	5.041	25.65581	355.6061
XP_010913734.1	8.815	25.75061	91.32732
XP_010917717.1	7.203	31.18117	62.41635
XP_010920102.1	9.472	17.75457	431.2517
XP_010928213.1	8.075	42.13808	256.3491
XP_010931540.2	5.941	18.08595	154.6858
XP_010918635.1	7.101	118.4178	51.06154
XP_010924485.1	6.889	31.2406	127.7842
XP_010939025.1	7.265	24.79977	84.28647
XP_010906693.1	7.316	23.67096	70.41485
XP_019707716.1	5.954	28.75957	51.47027
XP_019704984.1	6.862	75.30997	91.60002
XP_019703928.1	4.387	19.14267	286.2281
XP_010939965.1	6.41	38.019	264.9299
XP_010940041.1	4.871	71.43482	123.6607
XP_010914246.1	10.944	17.861	232.368
XP_010926505.1	5.97	70.7228	268.6399
XP_019709368.1	5.39	28.00112	100.7539
XP_010905794.1	6.212	35.65402	63.59141
XP_010919711.1	5.053	31.00207	82.63946
XP_019707187.1	8.189	41.27937	59.06634
XP_010939837.1	8.609	51.20399	88.38461
XP_019707972.1	7.694	53.87292	93.28781
XP_010917302.1	10.977	28.38427	315.8636
XP_010905155.1	6.291	13.99877	265.3123
XP_010939192.1	7.279	16.01832	69.68054
XP_019706194.1	7.834	31.25613	72.49082
XP_019710436.1	8.46	32.21318	256.8537
XP_019702688.1	9.002	12.49939	187.2544
XP_010918852.1	7.791	66.24331	54.04538
XP_010918377.1	5.046	16.57501	165.6761
XP_019710451.1	9.733	31.05571	51.85538
XP_010919933.1	5.947	11.76501	53.84616
XP_010939846.1	6.59	64.86005	352.9802
XP_010925617.1	8.145	31.58561	62.69716
XP_010928652.1	6.133	59.19176	55.54935
XP_019710908.1	10.782	57.17086	54.12348
XP_010912643.2	5.134	103.10503	699.765
XP_010906597.1	8.812	55.48617	69.8554
XP_010925645.2	4.731	29.55799	60.75492
XP_010942815.1	8.62	41.62155	58.61524
XP_010930323.1	7.925	15.55001	119.0981
XP_019707153.1	9.547	8.54321	56.49698
XP_010939749.1	5.94	18.56437	462.6611
XP_010905725.1	11.061	15.5363	183.6025
XP_010917183.1	5.448	19.64637	86.59865
XP_010913325.1	5.86	22.47769	70.02371
XP_019702442.1	7.731	22.15429	54.61665
XP_010941637.1	6.486	19.95502	674.6483
XP_010906256.1	8.306	7.38554	354.7224
XP_010940889.1	9.895	28.52438	123.2351
XP_010915164.1	5.327	65.52744	107.0571
XP_010909064.1	4.604	50.28462	54.73145
XP_010931741.1	5.385	18.05812	241.0237
XP_010932825.1	11.84	13.82628	302.6421
XP_010922090.2	7.393	50.89914	68.48593
XP_010915737.1	7.863	42.76549	54.99405
XP_010912239.1	7.457	38.56201	250.3916
XP_019706833.1	3.988	27.26177	52.97562
XP_010910631.2	6.983	8.49153	267.7724
XP_010933213.1	9.052	81.25345	74.18404
XP_010926276.1	7.338	35.85459	107.3023
XP_010921055.1	7.132	22.71088	57.22102
XP_019711266.1	6.005	40.28889	72.32379
XP_010926845.1	5.536	29.59312	83.33722
XP_010931941.1	7.23	10.71534	100.9218
XP_010943866.1	6.328	41.36271	58.86891
XP_010905497.1	6.184	13.51039	144.6033
XP_010937630.1	4.745	9.88004	151.6115
XP_010931240.1	5.872	84.75525	128.6017
XP_010928698.1	10.004	33.27289	93.82635
XP_010926571.1	4.244	11.43976	386.7742
XP_010917637.1	5.196	42.05957	121.4525
XP_010928046.1	7.597	12.84499	118.7711
XP_019706264.1	5.544	55.59352	71.3871
XP_010930034.1	10.407	21.10533	698.6445
XP_010933068.1	11.394	22.98833	460.7923
XP_010905381.2	5.136	55.53512	99.7532
XP_010917039.1	10.171	29.06208	106.382
XP_010915197.1	6.656	25.13221	73.52777
XP_010937977.1	8.862	64.95635	107.4157
XP_019702964.1	6.197	33.65612	111.5962
XP_010937324.1	6.129	27.42128	205.414
XP_010932150.1	7.141	38.83203	396.7655
XP_010935491.1	6.591	25.51712	53.61215
XP_010921510.1	6.007	18.36217	2067.254
XP_010943829.1	6.349	27.18946	58.29348
XP_010925628.1	10.373	15.72617	68.61614
XP_010910299.1	11.021	16.32121	654.8673
XP_010932644.1	8.666	24.18342	59.19894
XP_010932276.1	10.179	17.08466	105.9043
XP_010916665.1	7.248	50.4488	86.77206
XP_010935480.1	5.21	9.39673	54.55138
XP_010933628.1	9.602	55.90194	57.39209
XP_010919910.1	7.806	21.98604	52.98223
XP_010919279.1	7.55	60.76348	67.2062
XP_010927567.1	10.389	33.14815	901.4418
XP_010917331.1	9.594	24.61012	102.6162
XP_010928854.1	10.345	13.90621	449.7615
XP_010911125.1	7.672	24.26732	169.7035
XP_010924490.1	5.314	43.80986	106.2872
XP_010907030.1	6.066	54.00798	75.58084
XP_010941544.1	10.185	36.26757	114.5817
XP_010916301.1	6.242	18.16386	73.16015
XP_010939260.1	4.697	15.13796	68.32279
XP_010924771.1	7.937	28.28494	387.4984
XP_010940639.1	7.697	32.98212	53.64699
XP_010943064.1	7.172	65.4963	513.7931
XP_010919971.1	4.421	18.24236	67.43822
XP_019705213.1	8.91	25.51294	95.68568
XP_010933934.1	9.93	39.17338	53.21732
XP_010938077.1	7.942	16.99212	75.10554
XP_010929398.1	8.632	35.63953	918.012
XP_010931954.1	5.237	22.5609	140.3235
XP_010936614.1	6.016	47.30278	169.4361
XP_010931296.1	7.663	22.92784	92.72493
XP_019706325.1	7.43	57.78826	641.8642
XP_010920757.1	11.677	11.40938	508.8729
XP_010922773.1	6.496	30.56171	145.69
XP_010938423.1	10.612	29.87011	212.1964
XP_019703355.1	8.507	12.89976	782.1568
XP_010923637.1	6.002	41.12424	148.4871
XP_010926874.1	10.913	11.98399	53.87179
XP_010922039.1	4.647	50.3327	180.2677
XP_010909512.1	9.941	14.07953	213.5761
XP_010942787.1	5.456	58.30596	73.2886
XP_019704649.1	6.767	23.1338	126.2811
XP_010919191.1	5.546	25.92131	74.2952
XP_010931633.1	7.111	9.24442	262.766
XP_010937404.1	8.724	30.00015	69.3507
XP_010940378.1	8.461	22.20815	114.1694
XP_010932289.1	9.099	46.05685	283.0769
XP_010931507.1	6.553	41.48312	477.1316
XP_019706797.1	10.224	8.63067	50.82922
XP_010934726.1	5.219	14.5786	287.9727
XP_019708219.1	5.23	26.77986	199.3056
XP_010907664.1	9.124	27.60829	325.5762
XP_010906039.1	11.101	28.05172	858.5163
XP_019707691.1	9.829	9.60791	157.887
XP_010911872.1	5.9	41.27898	128.4335
XP_010910244.1	5.901	44.23674	88.08851
XP_010940567.1	5.346	18.99104	54.71622
XP_010919028.1	4.142	23.65096	53.24854
XP_019711036.1	9.321	23.38064	62.97816
XP_010911937.1	6.852	41.89881	111.8284
XP_010920205.1	6.883	13.89603	54.24369
XP_010934423.1	10.538	29.92813	120.9429
XP_010911140.2	9.927	94.36607	91.44098
XP_010913839.1	5.13	45.3532	98.08671
XP_019704156.1	8.128	10.48181	121.8789
XP_010918475.1	5.328	42.33237	75.06009
XP_010916710.1	4.264	18.44101	151.9072
XP_010907068.1	10.59	6.56356	1423.151
XP_010924448.1	4.464	14.24329	282.677
XP_010929093.1	4.641	37.5206	57.1184
XP_010937429.1	8.645	32.39508	158.6131
XP_010939908.1	11.04	16.43934	72.11718
XP_010930758.1	7.383	94.33944	162.4238
XP_010934175.1	4.325	29.96936	55.49344
XP_010918104.1	7.626	51.99405	65.10936
XP_019704979.1	10.249	16.21463	225.0039
XP_010939294.1	4.975	18.85584	53.47716
XP_019703431.1	11.116	15.05494	225.0958
XP_010921356.1	10.144	22.12024	72.27292
XP_010910401.1	4.484	13.09278	354.9231
XP_010912688.1	9.475	44.40234	128.5103
XP_010925187.1	5.992	29.982	173.21
XP_010918745.1	8.709	39.59197	137.3874
XP_010930880.1	8.597	13.6336	77.31707
XP_010941504.1	6.642	20.7218	367.8272
XP_010939269.1	4.775	45.4922	73.42242
XP_010905550.1	10.286	10.31583	76.61957
XP_010936379.1	9.769	20.10761	55.67081
XP_010913088.1	10.129	23.40302	121.0211
XP_010919337.1	8.623	73.11808	52.6076
XP_010924680.1	6.7	75.80575	98.66742
XP_010915890.1	7.652	40.64969	64.26033
XP_010917420.1	5.787	14.93468	69.5987
XP_010933490.1	6.609	30.16862	85.71465
XP_010914702.1	10.206	23.75767	288.6564
XP_019708906.1	7.199	8.65291	1009.258
XP_010940543.1	10.604	25.4061	69.90801
XP_010915088.1	4.526	13.73741	65.71481
XP_010934761.1	7.327	24.79942	99.61768
XP_019708939.1	7.737	16.50309	177.4861
XP_010942381.1	6.261	101.66858	70.22112
XP_010920677.1	10.357	16.98182	239.3771
XP_010928603.1	6.967	58.81058	97.5218
XP_019707757.1	5.432	8.21693	85.2614
XP_010909333.1	4.949	53.62899	77.44838
XP_010920759.1	9.982	17.21921	64.57554
XP_010909861.1	6.447	16.82176	152.9498
XP_010928273.1	9.686	22.21862	80.7643
XP_010936944.1	7.346	29.80045	65.06088
XP_010913894.1	8.482	45.21254	58.04124
XP_010941664.1	6.871	55.73399	101.3397
XP_010917327.1	6.406	19.95795	115.3149
XP_010908201.1	8.065	72.86389	53.23237
XP_010912529.1	9.245	15.01676	90.62899
XP_010941795.1	4.577	40.40627	152.2717
XP_010923294.1	8.732	65.86585	119.4636
XP_010918389.1	7.804	24.28751	110.3467
XP_010942272.1	5.041	35.9923	57.66553
XP_010938926.1	8.297	30.96885	111.0288
XP_019708999.1	11.03	32.63308	53.91144
XP_010917707.2	6.394	25.71245	252.8894
XP_010935899.1	11.047	45.23757	231.9313
XP_019708505.1	9.748	15.89356	179.165
XP_010907565.1	5.463	34.59074	122.2405
